country,adm1_pcode,adm1_name,primary_school_net_attendance_total,net_attendance_total,school_access_pop,healthcare_access_pop,health_fac_per_10k_pop,hospitals_per_100k_pop,pop_frac_3plus,poverty_headcount_pct,gcp_pc,rs_ndvi,rs_soil_moist,rs_fapar,rs_pdsi,literacy_percent_total,percent_highest_level_secondary_education,total_expenditure_usd,on_payroll_pct,dropout_pct,annual_cmb_mean
Kenya,KE030,Baringo,57.2,19.7,19.28,58.03,2.892670157,0.916230366,0.15,46.8917,127205,0.006719139,-0.013824822,-1.452049902,-3.81132487,,,,,,
Kenya,KE036,Bomet,58.7,19.8,5.56,56.3,1.419689119,0.518134715,0,24.3793,215438,0.006218174,-0.014752768,2.001897771,-1.352565217,,,,,,
Kenya,KE039,Bungoma,59,19.1,44.38,95.23,0.953929539,0.54200542,0,28.5666,143640,0.006303491,0.001682229,2.802075834,-0.266001199,,,,,,
Kenya,KE040,Busia,60.2,18.2,23.83,96.66,1.143141153,0.69582505,0,29.2173,120467,0.004951998,0.029499016,0.762460371,1.101724806,,,,,,
Kenya,KE028,Elgeyo-Marakwet,57.4,19.4,7.06,41.49,2.534381139,1.768172888,0,34.2359,249326,0.004378135,-0.0314107,0.226049309,-4.028860911,,,,,,
Kenya,KE014,Embu,56,23.2,40.35,65.77,2.643504532,1.359516616,0.05,18.7291,281579,0.01165645,0.001273017,0.815529034,-6.040883459,,,,,,
Kenya,KE007,Garissa,53.7,21.3,28.37,20.97,1.606591143,1.441812564,0.15,55.2501,74600,0.006334645,0.021898124,0.857953723,-2.935858239,,,,,,
Kenya,KE043,Homa Bay,55.7,18.3,50.14,92.45,1.776212833,1.17370892,0,26.6254,139588,0.004384516,0.019241424,2.204603111,-0.466577381,,,,,,
Kenya,KE011,Isiolo,58,16.2,40.19,31.68,1.575757576,0.909090909,0.1,39.4936,105390,0.009893273,0.029773319,4.620235785,-2.784396359,,,,,,
Kenya,KE034,Kajiado,53.4,17.2,46.19,54.11,2.228915663,1.129518072,0.05,22.512,154127,0.013325798,-0.002935182,-1.296363715,-5.188988965,,,,,,
Kenya,KE037,Kakamega,60.5,17.8,66.9,98.19,1.302460203,0.771828268,0,23.9991,138027,0.005612452,0.016612585,1.645223037,-0.693493151,,,,,,
Kenya,KE035,Kericho,57.3,20.8,16.2,91,2.153061224,1.530612245,0,26.4952,217656,0.005488258,-0.020238435,1.090289938,-2.055714286,,,,,,
Kenya,KE022,Kiambu,48.4,21.7,96.55,99.96,1.753812636,1.16194626,0,5.8769,267288,0.00562736,-0.010059185,-1.300512654,-5.616783747,,,,,,
