country,adm1_pcode,adm1_name,pillar_education,pillar_health,pillar_food_security,pillar_economic,pillar_climate,sepi,n_pillars,sepi_rank,primary_school_net_attendance_total_norm,net_attendance_total_norm,school_access_pop_norm,healthcare_access_pop_norm,health_fac_per_10k_pop_norm,hospitals_per_100k_pop_norm,pop_frac_3plus_norm,poverty_headcount_pct_norm,gcp_pc_norm,rs_ndvi_norm,rs_soil_moist_norm,rs_fapar_norm,rs_pdsi_norm,literacy_percent_total_norm,percent_highest_level_secondary_education_norm,total_expenditure_usd_norm,on_payroll_pct_norm,dropout_pct_norm,annual_cmb_mean_norm
Kenya,KE001,Mombasa,0.5825421,0.656139701,1,0.735533931,0.305281735,0.611963378,5,9,0.301886792,0.492857143,0.952882365,1,0.351881387,0.616537718,0,0.129860026,0.600927888,0.051697329,0.674342011,0,0.495087601,,,,,,
Kenya,KE002,Kwale,0.426446133,0.239364741,0.666666667,0.306421342,0.420933028,0.38785824,5,39,0.968553459,0,0.310784939,0.622662266,0.095431957,0,0.333333333,0.531891687,0.144734372,0.201951963,0.797347168,0.192511933,0.491921049,,,,,,
Kenya,KE003,Kilifi,0.486641542,0.355240234,0.833333333,0.298275373,0.322245367,0.424884445,5,36,0.943396226,0.2,0.316528398,0.789178918,0.178451482,0.098090301,0.166666667,0.555355833,0.15190658,0,0.717843245,0.068513889,0.502624334,,,,,,
Kenya,KE004,Tana River,0.328374026,0.223085629,0.5,0.120302908,0.52675008,0.2972612,5,45,0.672955975,0.135714286,0.176451819,0.393439344,0.183984899,0.091832645,0.5,0.821396382,0.062002199,0.440520657,0.77337964,0.485148142,0.407951881,,,,,,
Kenya,KE005,Lamu,0.416834101,0.488091728,0.5,0.467287911,0.583767053,0.488260694,5,33,0.886792453,0.3,0.063709849,0.138213821,0.446405277,0.879656087,0.5,0.350713853,0.285289674,0.395439537,0.929305012,0.561255485,0.449068177,,,,,,
Kenya,KE006,Taita Taveta,0.679638558,0.613615901,1,0.508982545,0.374400921,0.602619086,5,12,0.716981132,0.628571429,0.693363114,0.872087209,0.335509957,0.633250536,0,0.210985359,0.22895045,0.628353925,0.613102844,0.044648634,0.211498282,,,,,,
Kenya,KE007,Garissa,0.470476986,0.36840943,0.5,0.170671109,0.585841552,0.386861812,5,40,0.440251572,0.728571429,0.242607956,0.209620962,0.193774486,0.701832843,0.5,0.668392557,0.009734774,0.572240385,0.794654924,0.54175222,0.434718678,,,,,,
Kenya,KE008,Wajir,0.549302542,0.38609486,0.5,0.058783003,0.774887165,0.344185978,5,42,0.767295597,0.614285714,0.266326314,0.339933993,0.204732721,0.613617867,0.5,0.89546137,0.013027375,0.78359906,0.975890719,0.922748441,0.417310441,,,,,,
Kenya,KE009,Mandera,0.51046411,0.045583001,0,0,0.823661316,0.028609045,5,47,0.937106918,0.521428571,0.072856839,0.074707471,0,0.062041531,1,1,0,0.777584186,0.977962586,0.998292368,0.540806125,,,,,,
Kenya,KE010,Marsabit,0.475770883,0.281439398,0.333333333,0.170835843,0.697095762,0.350837968,5,41,0.937106918,0.314285714,0.175920017,0.173817382,0.316668405,0.353832407,0.666666667,0.774037148,0.115708833,0.603771961,0.749032785,0.95889474,0.476683563,,,,,,
Kenya,KE011,Isiolo,0.481101142,0.281348856,0.666666667,0.293757321,0.788050516,0.461303349,5,35,0.710691824,0.364285714,0.368325888,0.316731673,0.186039472,0.341275423,0.333333333,0.468093058,0.055607701,0.789978052,0.906299933,1,0.45592408,,,,,,
Kenya,KE012,Meru,0.531131645,0.541176004,0.666666667,0.473406754,0.545327159,0.548110606,5,25,0.742138365,0.614285714,0.236970857,0.503850385,0.459307097,0.660370531,0.333333333,0.336819437,0.283632945,0.765821513,0.644343336,0.74571351,0.025430277,,,,,,
Kenya,KE013,Tharaka-Nithi,0.558597729,0.753718917,1,0.448798707,0.500439864,0.623939406,5,5,0.628930818,0.8,0.24686237,0.703070307,0.558086444,1,0,0.292028063,0.189625478,0.705715596,0.700478488,0.491974689,0.103590684,,,,,,
Kenya,KE014,Embu,0.606406343,0.585899019,0.833333333,0.556987239,0.484175363,0.603185147,5,11,0.58490566,0.864285714,0.370027654,0.657665767,0.453898107,0.646133184,0.166666667,0.204130951,0.318105429,0.897859529,0.502257052,0.536584873,0,,,,,,
Kenya,KE015,Kitui,0.5432213,0.361718273,0.666666667,0.330345797,0.537218331,0.471275777,5,34,1,0.55,0.079663901,0.01480148,0.591749,0.478604339,0.333333333,0.437424919,0.098116513,0.652630817,0.728497048,0.636223421,0.131522039,,,,,,
Kenya,KE016,Machakos,0.684336427,0.424633226,1,0.544827941,0.420208312,0.581569374,5,19,0.628930818,0.735714286,0.688364178,0.767576758,0.379062169,0.12726075,0,0.204930547,0.294586429,0.854762299,0.474809831,0.295261598,0.05599952,,,,,,
Kenya,KE017,Makueni,0.658037498,0.519730808,0.833333333,0.401975149,0.469498781,0.557360653,5,23,0.805031447,0.85,0.319081047,0.556755676,0.450286539,0.552150211,0.166666667,0.291100074,0.095050372,0.714495215,0.646275165,0.485454349,0.031770394,,,,,,
Kenya,KE018,Nyandarua,0.706130599,0.300652626,1,0.569817045,0.349474464,0.531153666,5,27,0.496855346,0.985714286,0.635822165,0.519151915,0.28133235,0.101473614,0,0.155196677,0.294830766,0.58237166,0.001207182,0.636312874,0.178006139,,,,,,
Kenya,KE019,Nyeri,0.704770429,0.834882833,0.833333333,0.614580221,0.396801498,0.653926246,5,2,0.226415094,1,0.887896192,0.99439944,1,0.51024906,0.166666667,0.097197345,0.326357788,0.604393058,0.175036893,0.629540733,0.178235309,,,,,,
Kenya,KE020,Kirinyaga,0.50099585,0.67050273,1,0.580739776,0.374541731,0.592574956,5,15,0.364779874,0.928571429,0.209636248,0.98779878,0.686140566,0.337568844,0,0.094689232,0.256168784,0.481540873,0.413380752,0.538172681,0.065072618,,,,,,
Kenya,KE021,Murang'a,0.576017805,0.556202006,1,0.562596059,0.394082442,0.589237592,5,16,0.566037736,0.921428571,0.240587109,0.97309731,0.37373198,0.321776727,0,0.11069514,0.235887259,0.621133506,0.319410106,0.596039898,0.039746256,,,,,,
