adm1_pcode,adm1_name,total_fatalities_2016,total_fatalities_2017,total_fatalities_2018,total_fatalities_2019,total_fatalities_2020,total_fatalities_2021,total_fatalities_2022,total_fatalities_2023,total_fatalities_2024,total_fatalities_2025,count_conflict_events_2016,count_conflict_events_2017,count_conflict_events_2018,count_conflict_events_2019,count_conflict_events_2020,count_conflict_events_2021,count_conflict_events_2022,count_conflict_events_2023,count_conflict_events_2024,count_conflict_events_2025,total_fatalities_per_1k_2016,count_conflicts_events_per_1k_2016,total_fatalities_per_1k_2017,count_conflicts_events_per_1k_2017,total_fatalities_per_1k_2018,count_conflicts_events_per_1k_2018,total_fatalities_per_1k_2019,count_conflicts_events_per_1k_2019,total_fatalities_per_1k_2020,count_conflicts_events_per_1k_2020,total_fatalities_per_1k_2021,count_conflicts_events_per_1k_2021,total_fatalities_per_1k_2022,count_conflicts_events_per_1k_2022,total_fatalities_per_1k_2023,count_conflicts_events_per_1k_2023,total_fatalities_per_1k_2024,count_conflicts_events_per_1k_2024,total_fatalities_per_1k_2025,count_conflicts_events_per_1k_2025
SS00,Abyei Region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS01,Central Equatoria,1280,762,331,325,243,255,313,353,235,332,284,253,203,174,176,232,239,206,153,272,80.2507837,17.8056426,47.7742947,15.862069000000002,20.7523511,12.7272727,20.3761755,10.9090909,15.235109699999999,11.034482800000001,15.987460800000001,14.545454499999998,19.6238245,14.984326000000001,22.1316614,12.9153605,14.7335423,9.5924765,20.815047,17.0532915
SS02,Eastern Equatoria,284,319,61,64,58,237,350,244,213,192,86,77,40,31,54,175,193,177,130,117,24.461671,7.4074074,27.4763135,6.6322136,5.2540913,3.4453058000000003,5.5124892,2.670112,4.9956934,4.6511628,20.413436700000002,15.0732127,30.146425500000003,16.6236003,21.0163652,15.245478000000002,18.3462532,11.197243799999999,16.5374677,10.0775194
SS03,Jonglei,474,865,336,184,673,552,863,860,592,683,82,132,104,52,144,284,365,379,356,389,22.614503799999998,3.9122137,41.269084,6.297709899999999,16.0305344,4.9618321,8.778626000000001,2.480916,32.1087786,6.870229,26.3358779,13.549618299999999,41.1736641,17.4141221,41.0305344,18.0820611,28.244274800000003,16.9847328,32.5858779,18.5591603
SS04,Lakes,203,489,174,245,497,645,121,373,354,284,33,71,58,65,150,306,155,138,157,139,16.2660256,2.6442308000000003,39.1826923,5.6891026,13.9423077,4.6474359,19.6314103,5.2083333000000005,39.8237179,12.019230799999999,51.6826923,24.5192308,9.6955128,12.4198718,29.8878205,11.0576923,28.3653846,12.580128199999999,22.7564103,11.1378205
SS05,Northern Bahr el Ghazal,36,41,0,9,82,17,52,45,6,11,11,14,0,7,16,22,26,21,4,10,3.7267081,1.1387164,4.2443064,1.4492754,0.0,0.0,0.931677,0.7246377,8.4886128,1.6563147,1.7598344,2.2774327,5.3830228,2.6915114,4.6583851,2.1739129999999998,0.6211180000000001,0.4140787,1.1387164,1.0351967
SS06,Unity,496,667,223,349,218,316,491,137,130,247,112,102,136,28,74,167,190,89,75,127,42.795513400000004,9.663503,57.5496117,8.8006903,19.2407248,11.7342537,30.1121657,2.4158758,18.8093184,6.384814499999999,27.264883499999996,14.4089733,42.364107000000004,16.3934426,11.8205349,7.6790336,11.216566,6.4710958,21.3114754,10.957722200000001
SS07,Upper Nile,401,931,142,90,26,322,639,174,114,511,73,204,40,30,25,111,197,85,78,195,25.460317500000002,4.6349206,59.1111111,12.952380999999999,9.015873000000001,2.5396825,5.7142857,1.9047618999999998,1.6507937,1.5873016,20.444444400000002,7.047618999999999,40.5714286,12.5079365,11.047619000000001,5.3968254,7.2380952,4.952381,32.4444444,12.3809524
SS08,Warrap,101,243,207,358,548,891,790,711,565,597,23,49,43,50,118,220,199,250,176,222,7.5598802,1.7215569,18.1886228,3.6676647,15.494011999999998,3.2185629000000002,26.7964072,3.7425149999999996,41.0179641,8.832335299999999,66.69161679999999,16.4670659,59.131736499999995,14.895209600000001,53.2185629,18.7125749,42.2904192,13.1736527,44.6856287,16.6167665
SS09,Western Bahr el Ghazal,207,381,172,98,32,15,28,67,56,21,95,76,96,31,35,23,42,34,27,32,30.2631579,13.8888889,55.701754400000006,11.1111111,25.146198800000004,14.035087700000002,14.3274854,4.5321637,4.6783626,5.1169591,2.1929825,3.3625731,4.0935673,6.1403509000000005,9.7953216,4.9707602,8.187134499999999,3.9473684,3.0701754,4.6783626
SS10,Western Equatoria,203,157,65,75,70,462,58,71,41,289,81,98,53,43,46,166,82,62,56,210,20.3815261,8.1325301,15.763052199999999,9.839357399999999,6.5261044,5.3212851,7.5301205,4.3172691,7.0281124,4.618473900000001,46.3855422,16.6666667,5.8232932,8.2329317,7.128514099999999,6.2248996000000005,4.1164659,5.62249,29.0160643,21.0843373
