country,country_code,adm1_pcode,adm1_name,total_fatalities_2016,total_fatalities_2017,total_fatalities_2018,total_fatalities_2019,total_fatalities_2020,total_fatalities_2021,total_fatalities_2022,total_fatalities_2023,total_fatalities_2024,total_fatalities_2025,count_conflict_events_2016,count_conflict_events_2017,count_conflict_events_2018,count_conflict_events_2019,count_conflict_events_2020,count_conflict_events_2021,count_conflict_events_2022,count_conflict_events_2023,count_conflict_events_2024,count_conflict_events_2025,total_fatalities_per_1k_2016,count_conflicts_events_per_1k_2016,total_fatalities_per_1k_2017,count_conflicts_events_per_1k_2017,total_fatalities_per_1k_2018,count_conflicts_events_per_1k_2018,total_fatalities_per_1k_2019,count_conflicts_events_per_1k_2019,total_fatalities_per_1k_2020,count_conflicts_events_per_1k_2020,total_fatalities_per_1k_2021,count_conflicts_events_per_1k_2021,total_fatalities_per_1k_2022,count_conflicts_events_per_1k_2022,total_fatalities_per_1k_2023,count_conflicts_events_per_1k_2023,total_fatalities_per_1k_2024,count_conflicts_events_per_1k_2024,total_fatalities_per_1k_2025,count_conflicts_events_per_1k_2025
kenya,KEN,KE030,Baringo,4,63,27,17,5,21,49,30,23,18,2,25,15,11,8,13,40,52,35,22,0.5235602,0.2617801,8.246073299999999,3.2722513,3.5340314,1.9633508000000002,2.2251309,1.4397906,0.6544503,1.0471204,2.7486911,1.7015707000000002,6.4136126,5.2356021,3.9267016000000003,6.806282700000001,3.0104712,4.581151800000001,2.3560209,2.8795812
kenya,KEN,KE036,Bomet,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.10362690000000001,0.10362690000000001,0.10362690000000001,0.0,0.2072539,0.0,0.0,0.0,0.0,0.0,0.10362690000000001,0.0,0.0,0.0,0.0
kenya,KEN,KE039,Bungoma,0,6,5,1,1,1,2,1,2,0,0,5,2,1,2,2,3,2,3,3,0.0,0.0,0.32520330000000003,0.2710027,0.2710027,0.1084011,0.0542,0.0542,0.0542,0.1084011,0.0542,0.1084011,0.1084011,0.1626016,0.0542,0.1084011,0.1084011,0.1626016,0.0,0.1626016
kenya,KEN,KE040,Busia,0,0,1,0,1,0,0,3,0,0,0,0,1,0,3,0,0,3,2,1,0.0,0.0,0.0,0.0,0.09940000000000002,0.09940000000000002,0.0,0.0,0.09940000000000002,0.2982107,0.0,0.0,0.0,0.0,0.2982107,0.2982107,0.0,0.1988072,0.0,0.09940000000000002
kenya,KEN,KE028,Elgeyo-Marakwet,7,12,15,3,3,34,32,29,13,17,4,12,11,2,2,13,26,21,10,22,0.9270712999999999,0.529755,1.5892650000000001,1.5892650000000001,1.9865812999999999,1.4568263,0.3973163,0.2648775,0.3973163,0.2648775,4.5029176,1.7217038,4.2380401,3.4434076,3.8407239000000004,2.7812138,1.7217038,1.3243875,2.2514588,2.9136526
kenya,KEN,KE014,Embu,0,0,1,2,0,0,1,2,0,1,0,0,2,4,1,2,5,1,3,4,0.0,0.0,0.0,0.0,0.1510574,0.3021148,0.3021148,0.6042296,0.0,0.1510574,0.0,0.3021148,0.1510574,0.7552869999999999,0.3021148,0.1510574,0.0,0.4531722,0.1510574,0.6042296
kenya,KEN,KE007,Garissa,30,57,10,29,43,2,58,101,36,42,8,26,11,11,21,4,25,55,37,27,3.0895984000000003,0.8238929,5.8702369,2.6776519,1.0298661,1.1328527,2.9866117,1.1328527,4.4284243,2.1627188,0.2059732,0.4119464,5.9732235000000005,2.5746653,10.4016478,5.6642636,3.707518,3.8105046,4.325437699999999,2.7806385
kenya,KEN,KE043,Homa Bay,0,0,0,2,2,1,1,2,4,4,0,1,2,3,2,1,4,4,4,7,0.0,0.0,0.0,0.0782,0.0,0.1564945,0.1564945,0.2347418,0.1564945,0.1564945,0.0782,0.0782,0.0782,0.312989,0.1564945,0.312989,0.312989,0.312989,0.312989,0.5477308000000001
kenya,KEN,KE011,Isiolo,9,47,13,24,8,50,51,30,12,28,4,11,9,9,4,19,27,22,10,29,2.7272727,1.2121212,14.2424242,3.3333333,3.9393939000000002,2.7272727,7.2727273,2.7272727,2.4242424,1.2121212,15.151515199999999,5.7575758,15.4545455,8.1818182,9.0909091,6.6666666999999995,3.6363635999999997,3.030303,8.4848485,8.7878788
kenya,KEN,KE034,Kajiado,0,0,0,2,1,2,1,0,1,1,0,0,0,3,1,3,1,7,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.1506024,0.22590359999999998,0.07529999999999999,0.07529999999999999,0.1506024,0.22590359999999998,0.07529999999999999,0.07529999999999999,0.0,0.5271083999999999,0.07529999999999999,0.45180719999999996,0.07529999999999999,0.1506024
kenya,KEN,KE037,Kakamega,0,0,3,1,6,1,2,1,4,2,0,2,5,1,8,1,3,3,5,5,0.0,0.0,0.0,0.0965,0.14471779999999998,0.2411963,0.0482,0.0482,0.28943559999999996,0.3859141,0.0482,0.0482,0.0965,0.14471779999999998,0.0482,0.14471779999999998,0.1929571,0.2411963,0.0965,0.2411963
kenya,KEN,KE035,Kericho,0,0,0,3,0,0,0,8,0,0,0,0,1,1,1,0,1,4,0,0,0.0,0.0,0.0,0.0,0.0,0.1020408,0.3061224,0.1020408,0.0,0.1020408,0.0,0.0,0.0,0.1020408,0.8163265,0.4081633,0.0,0.0,0.0,0.0
kenya,KEN,KE022,Kiambu,1,10,10,4,1,0,0,4,2,1,1,6,4,2,1,2,3,9,13,8,0.0363,0.0363,0.3631082,0.2178649,0.3631082,0.1452433,0.1452433,0.0726,0.0363,0.0363,0.0,0.0726,0.0,0.10893249999999999,0.1452433,0.3267974,0.0726,0.47204070000000004,0.0363,0.2904866
kenya,KEN,KE003,Kilifi,4,0,0,1,1,0,2,3,5,4,1,0,5,1,1,0,7,5,9,6,0.2443494,0.0611,0.0,0.0,0.0,0.3054368,0.0611,0.0611,0.0611,0.0611,0.0,0.0,0.1221747,0.4276115,0.1832621,0.3054368,0.3054368,0.5497862,0.2443494,0.3665241
kenya,KEN,KE020,Kirinyaga,1,0,0,0,0,1,0,2,2,0,1,0,0,0,0,1,2,4,4,1,0.1506024,0.1506024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1506024,0.1506024,0.0,0.3012048,0.3012048,0.6024096,0.3012048,0.6024096,0.0,0.1506024
kenya,KEN,KE045,Kisii,2,1,1,1,2,1,1,2,1,5,2,3,1,2,2,1,3,3,3,7,0.1459854,0.1459854,0.073,0.2189781,0.073,0.073,0.073,0.1459854,0.1459854,0.1459854,0.073,0.073,0.073,0.2189781,0.1459854,0.2189781,0.073,0.2189781,0.3649635,0.5109489
kenya,KEN,KE042,Kisumu,4,16,0,0,2,5,0,5,1,2,3,12,3,0,5,4,1,8,3,2,0.3100775,0.23255810000000002,1.2403100999999999,0.9302326,0.0,0.23255810000000002,0.0,0.0,0.1550388,0.3875969,0.3875969,0.3100775,0.0,0.0775,0.3875969,0.620155,0.0775,0.23255810000000002,0.1550388,0.1550388
kenya,KEN,KE015,Kitui,1,7,1,3,0,0,5,18,5,5,1,5,1,4,0,1,14,12,7,8,0.0794,0.0794,0.5559968000000001,0.3971406,0.0794,0.0794,0.23828439999999998,0.3177125,0.0,0.0,0.0,0.0794,0.3971406,1.1119936000000001,1.4297061,0.9531374,0.3971406,0.5559968000000001,0.3971406,0.6354249000000001
kenya,KEN,KE002,Kwale,12,5,8,0,8,1,1,2,0,3,9,4,4,1,7,1,2,4,1,4,1.2145749000000001,0.9109311999999999,0.5060728999999999,0.40485829999999995,0.8097165999999999,0.40485829999999995,0.0,0.1012146,0.8097165999999999,0.708502,0.1012146,0.1012146,0.1012146,0.2024291,0.2024291,0.40485829999999995,0.0,0.1012146,0.3036437,0.40485829999999995
kenya,KEN,KE031,Laikipia,0,20,1,1,4,18,9,11,6,5,0,21,1,2,2,17,20,13,9,9,0.0,0.0,3.4305317000000004,3.6020583000000004,0.1715266,0.1715266,0.1715266,0.3430532,0.6861063,0.3430532,3.0874786000000003,2.9159520000000003,1.5437393000000001,3.4305317000000004,1.8867925,2.2298456,1.0291595,1.5437393000000001,0.8576329,1.5437393000000001
kenya,KEN,KE005,Lamu,21,85,50,8,17,33,62,141,65,28,11,29,15,8,10,11,25,36,21,23,11.931818199999999,6.25,48.2954545,16.4772727,28.4090909,8.522727300000001,4.5454545,4.5454545,9.6590909,5.6818182,18.75,6.25,35.2272727,14.204545499999998,80.1136364,20.4545455,36.9318182,11.931818199999999,15.9090909,13.068181800000001
kenya,KEN,KE016,Machakos,0,4,0,3,1,3,0,6,0,0,0,2,0,2,3,4,2,6,9,4,0.0,0.0,0.2635046,0.1317523,0.0,0.0,0.19762849999999998,0.1317523,0.0659,0.19762849999999998,0.19762849999999998,0.2635046,0.0,0.1317523,0.3952569,0.3952569,0.0,0.5928854,0.0,0.2635046
kenya,KEN,KE017,Makueni,0,1,0,5,1,0,2,1,2,0,0,1,0,3,1,0,1,1,5,0,0.0,0.0,0.0939,0.0939,0.0,0.0,0.4694836,0.2816901,0.0939,0.0939,0.0,0.0,0.1877934,0.0939,0.0939,0.0939,0.1877934,0.4694836,0.0,0.0
kenya,KEN,KE009,Mandera,45,70,55,17,28,43,29,53,80,64,15,28,28,9,27,37,41,52,56,49,4.468719,1.489573,6.9513406,2.7805362000000002,5.4617676,2.7805362000000002,1.6881826999999998,0.8937438000000001,2.7805362000000002,2.6812314,4.2701092,3.67428,2.8798411,4.0714995,5.2631578999999995,5.1638530000000005,7.9443893,5.5610725,6.355511399999999,4.8659384
kenya,KEN,KE010,Marsabit,0,11,21,46,26,80,25,32,17,21,0,5,7,11,10,28,29,19,10,22,0.0,0.0,2.0408163,0.9276438,3.8961039000000004,1.2987013,8.5343228,2.0408163,4.8237477,1.8552876,14.8423006,5.1948052,4.6382189,5.3803339999999995,5.9369202,3.5250464000000004,3.1539889000000003,1.8552876,3.8961039000000004,4.0816327
kenya,KEN,KE012,Meru,0,24,0,10,1,0,20,29,17,17,0,6,2,5,8,0,11,22,20,25,0.0,0.0,1.4405762,0.36014409999999997,0.0,0.120048,0.6002401,0.30012,0.06,0.48019209999999996,0.0,0.0,1.2004802,0.6602641,1.7406963000000002,1.3205282,1.0204081999999999,1.2004802,1.0204081999999999,1.5006001999999998
kenya,KEN,KE044,Migori,0,1,2,1,0,0,0,3,0,5,0,6,2,2,0,1,3,4,3,7,0.0,0.0,0.0774,0.4643963,0.1547988,0.1547988,0.0774,0.1547988,0.0,0.0,0.0,0.0774,0.0,0.2321981,0.2321981,0.30959749999999997,0.0,0.2321981,0.3869969,0.5417957
kenya,KEN,KE001,Mombasa,8,7,9,7,2,0,1,2,0,1,4,7,9,8,5,3,3,5,8,8,0.5847953,0.2923977,0.5116959,0.5116959,0.6578946999999999,0.6578946999999999,0.5116959,0.5847953,0.1461988,0.3654971,0.0,0.2192982,0.0731,0.2192982,0.1461988,0.3654971,0.0,0.5847953,0.0731,0.5847953
kenya,KEN,KE021,Murang'a,0,1,1,2,0,0,0,4,0,0,0,2,1,4,1,0,1,2,3,3,0.0,0.0,0.08800000000000001,0.1760563,0.08800000000000001,0.08800000000000001,0.1760563,0.3521127,0.0,0.08800000000000001,0.0,0.0,0.0,0.08800000000000001,0.3521127,0.1760563,0.0,0.2640845,0.0,0.2640845
kenya,KEN,KE047,Nairobi,7,41,27,29,9,7,9,6,10,5,6,29,23,14,15,16,23,24,47,22,0.1426824,0.1222992,0.8357114000000001,0.5911129,0.5503465,0.4688137,0.5911129,0.28536490000000003,0.1834488,0.30574809999999997,0.1426824,0.3261313,0.1834488,0.4688137,0.1222992,0.48919690000000005,0.203832,0.9580105999999999,0.101916,0.4484305
kenya,KEN,KE032,Nakuru,1,3,17,1,5,4,7,3,7,7,2,3,18,4,10,2,8,8,9,19,0.0409,0.0818,0.12269939999999999,0.12269939999999999,0.6952965,0.7361963,0.0409,0.1635992,0.204499,0.408998,0.1635992,0.0818,0.2862986,0.3271984,0.12269939999999999,0.3271984,0.2862986,0.36809820000000004,0.2862986,0.7770961
