country,country_code,adm1_pcode,adm1_name,total_fatalities_2016,total_fatalities_2017,total_fatalities_2018,total_fatalities_2019,total_fatalities_2020,total_fatalities_2021,total_fatalities_2022,total_fatalities_2023,total_fatalities_2024,total_fatalities_2025,count_conflict_events_2016,count_conflict_events_2017,count_conflict_events_2018,count_conflict_events_2019,count_conflict_events_2020,count_conflict_events_2021,count_conflict_events_2022,count_conflict_events_2023,count_conflict_events_2024,count_conflict_events_2025,total_fatalities_per_1k_2016,count_conflicts_events_per_1k_2016,total_fatalities_per_1k_2017,count_conflicts_events_per_1k_2017,total_fatalities_per_1k_2018,count_conflicts_events_per_1k_2018,total_fatalities_per_1k_2019,count_conflicts_events_per_1k_2019,total_fatalities_per_1k_2020,count_conflicts_events_per_1k_2020,total_fatalities_per_1k_2021,count_conflicts_events_per_1k_2021,total_fatalities_per_1k_2022,count_conflicts_events_per_1k_2022,total_fatalities_per_1k_2023,count_conflicts_events_per_1k_2023,total_fatalities_per_1k_2024,count_conflicts_events_per_1k_2024,total_fatalities_per_1k_2025,count_conflicts_events_per_1k_2025
somalia,SOM,SO11,Awdal,2,1,0,10,1,0,5,1,0,3,4,3,2,9,6,0,4,4,2,14,0.3143863,0.6287726,0.1571932,0.4715795,0.0,0.3143863,1.5719316,1.4147384,0.1571932,0.943159,0.0,0.0,0.7859658,0.6287726,0.1571932,0.6287726,0.0,0.3143863,0.4715795,2.2007042
somalia,SOM,SO25,Bakool,259,163,80,72,121,64,435,501,81,106,95,71,50,62,53,145,105,120,154,124,47.6690041,17.4847698,30.0001841,13.067564800000001,14.7240167,9.2025104,13.251615,11.411113,22.2700753,9.7546611,11.779213400000001,26.687280299999998,80.0618409,19.3252719,92.2091547,22.0860251,14.9080669,28.343732199999998,19.509322100000002,22.8222259
somalia,SOM,SO22,Banadir,692,1436,1031,840,452,558,670,618,416,266,499,625,805,656,509,537,717,596,377,375,21.8200164,15.734376,45.279687200000005,19.7073848,32.5093019,25.383111600000003,26.4867251,20.684870999999998,14.2523807,16.0496941,17.5947531,16.932585,21.1263165,22.6083118,19.486662,18.7929621,13.117235299999999,11.887494499999999,8.387463,11.824430900000001
somalia,SOM,SO16,Bari,144,351,296,102,122,116,53,127,118,1707,122,137,156,98,75,39,40,62,47,719,11.6860352,9.900668699999999,28.484710800000002,11.117963999999999,24.0212946,12.6598715,8.2776083,7.952996199999999,9.900668699999999,6.0864767,9.4137506,3.1649679,4.3011102,3.2461208999999998,10.3064338,5.0314874000000005,9.576056600000001,3.8141920000000002,138.52820880000002,58.3490229
somalia,SOM,SO24,Bay,443,613,382,370,423,202,274,371,223,376,162,182,182,197,236,242,239,323,357,310,35.4973637,12.9809773,49.1193769,14.583567,30.6094649,14.583567,29.647911,15.7855094,33.894774,18.910559499999998,16.186156800000003,19.3913364,21.9554801,19.150947900000002,29.728040500000002,25.881825000000003,17.8688761,28.606227699999998,30.128687999999997,24.8401417
somalia,SOM,SO19,Galgaduud,309,155,180,35,103,176,821,1542,984,691,85,68,42,37,87,111,151,232,184,271,38.0242174,10.4597362,19.0736365,8.3677889,22.150029500000002,5.1683402,4.3069502,4.5530616,12.674739099999998,10.7058476,21.657806700000002,13.6591849,101.02874580000001,18.5814137,189.7519197,28.548927000000003,121.0868281,22.6422524,85.0315023,33.3481
somalia,SOM,SO26,Gedo,561,489,357,149,105,108,95,96,91,70,119,146,126,88,120,116,84,97,128,142,57.5060222,12.1982471,50.125570200000006,14.965916700000001,36.594741400000004,12.915791099999998,15.273435499999998,9.020552499999999,10.7631592,12.3007534,11.0706781,11.890728300000001,9.7380965,8.610527399999999,9.8406027,9.943109,9.3280713,13.1208036,7.1754394999999995,14.555891500000001
somalia,SOM,SO20,Hiraan,736,366,438,417,178,186,1374,735,196,1344,130,196,207,160,192,176,245,244,156,347,145.7916526,25.751243000000002,72.4996533,38.824951,86.7618802,41.0039023,82.6020641,31.6938375,35.259394300000004,38.032605000000004,36.8440861,34.8632213,272.1708298,48.5311887,145.5935662,48.3331022,38.824951,30.901491599999996,266.22823520000003,68.7360101
somalia,SOM,SO28,Lower Juba,692,620,683,500,439,359,404,872,950,869,173,183,227,270,347,489,401,283,260,429,59.7458212,14.9364553,53.529492999999995,15.799834200000001,58.968780200000005,19.598701499999997,43.168946000000005,23.3112308,37.902334599999996,29.9592485,30.995303200000002,42.2192292,34.8805084,34.6214947,75.2866418,24.433623400000002,82.0209974,22.4478519,75.0276281,37.038955699999995
somalia,SOM,SO23,Lower Shabelle,985,1077,1232,1309,934,682,801,1293,820,1879,472,527,635,710,723,826,782,700,732,855,61.827973899999996,29.627211799999998,67.6027694,33.0795353,77.3320445,39.858643,82.1652972,44.5663568,58.626728500000006,45.382360500000004,42.8088103,51.84762069999999,50.278382799999996,49.085762,81.160985,43.9386616,51.471003599999996,45.9472862,117.9439217,53.6679367
somalia,SOM,SO27,Middle Juba,180,143,242,268,116,52,34,102,122,258,42,22,44,67,52,11,14,33,17,59,41.8517055,9.7653979,33.248854900000005,5.1152084,56.2672929,10.2304169,62.312539199999996,15.578134799999999,26.9710991,12.090492699999999,12.090492699999999,2.5576042,7.905322100000001,3.2551326,23.7159664,7.6728127,28.366155900000003,3.9526611000000003,59.987444499999995,13.718058999999998
somalia,SOM,SO21,Middle Shabelle,242,291,253,590,238,453,1479,811,633,1771,100,181,166,289,217,189,227,177,163,481,23.8809505,9.8681614,28.7163496,17.8613721,24.9664483,16.381147900000002,58.22215200000001,28.518986299999998,23.486224,21.4139102,44.702771000000006,18.650824999999998,145.9501066,22.400726300000002,80.0307887,17.4666456,62.4654614,16.085103,174.7651378,47.4658562
somalia,SOM,SO18,Mudug,488,185,257,177,146,363,59,1563,754,204,121,125,78,81,75,94,46,128,116,126,33.1900539,8.2295011,12.582294999999998,8.501550700000001,17.4791882,5.3049675999999995,12.0381958,5.5090048000000005,9.9298112,5.1009304,24.6885032,6.3931661,4.0127319,3.1285707000000005,106.3033897,8.705587900000001,51.2813537,7.889438999999999,13.874530700000001,8.5695631
somalia,SOM,SO17,Nugaal,81,40,11,22,11,8,8,45,11,22,19,25,23,15,20,11,17,33,24,18,12.820309899999998,3.0072332,6.3310172,3.9568858,1.7410297000000001,3.6403349,3.4820595,2.3741315,1.7410297000000001,3.1655086,1.2662034,1.7410297000000001,1.2662034,2.6906823,7.1223944,5.2230892,1.7410297000000001,3.7986103,3.4820595,2.8489578
